"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"16","702 - 717co141",-29.45,5.8407833372295,30.6757146761036,-50.900981290689,-7.99901870931108,-5.04213190245972,4.47940329767843e-05
"17","702 - 733co141",-33.8,5.8407833372295,30.6757146761036,-55.2509812906889,-12.349018709311,-5.78689501878229,7.14677970445889e-06
"18","702 - InCtrl",-1.89560207896423,5.86100936765574,31.0826216611384,-23.3911037969608,19.5998996390323,-0.323425874291415,0.909623720449779
"19","702 - ExCtrl",0.149999999999995,7.15346943718128,30.6757146761036,-26.1219793220882,26.4219793220882,0.0209688461406358,0.983406310535943
"20","717 - 733",0.686823134780945,5.88116583876352,31.491463238478,-20.8534427126492,22.2270889822111,0.116783500688589,0.953522644968895
"21","717 - 141",-44.6033382662505,5.88116583876352,31.491463238478,-66.1436041136807,-23.0630724188203,-7.58409803244523,1.49128190946395e-07
"22","717 - 522co141",-37.3202573096466,5.86100936765574,31.0826216611384,-58.8157590276432,-15.8247555916501,-6.36754780082765,1.47118595034775e-06
"23","717 - 702co141",-41.5202573096466,5.86100936765574,31.0826216611384,-63.0157590276432,-20.0247555916501,-7.08414791806649,3.18028876622677e-07
"24","717 - 717co141",-26.7202573096466,5.86100936765574,31.0826216611385,-48.2157590276432,-5.22475559165006,-4.55898560017727,0.000142846958579657
"25","717 - 733co141",-31.0702573096466,5.86100936765574,31.0826216611384,-52.5657590276431,-9.57475559165002,-5.30117857874605,2.14884872866577e-05
"26","717 - InCtrl",0.834140611389183,5.88116583876351,31.491463238478,-20.706125236041,22.3744064588193,0.141832526791075,0.953522644968895
"27","717 - ExCtrl",2.87974269035341,7.16999343123669,30.9467698843466,-23.4285535522151,29.1880389329219,0.401638121146327,0.904502031880815
"28","733 - 141",-45.2901614010314,5.88116583876352,31.491463238478,-66.8304272484616,-23.7498955536013,-7.70088153313382,1.3569505735166e-07
"29","733 - 522co141",-38.0070804444276,5.86100936765574,31.0826216611384,-59.5025821624241,-16.511578726431,-6.48473292913869,1.12765060897684e-06
"30","733 - 702co141",-42.2070804444276,5.86100936765574,31.0826216611384,-63.7025821624241,-20.711578726431,-7.20133304637752,2.55945393179915e-07
"31","733 - 717co141",-27.4070804444275,5.86100936765574,31.0826216611384,-48.9025821624241,-5.91157872643099,-4.67617072848831,0.000105926904449761
"32","733 - 733co141",-31.7570804444275,5.86100936765574,31.0826216611384,-53.2525821624241,-10.261578726431,-5.41836370705709,1.60458663771943e-05
"33","733 - InCtrl",0.147317476608237,5.88116583876352,31.491463238478,-21.3929483708219,21.6875833240384,0.0250490261024862,0.983406310535943
"34","733 - ExCtrl",2.19291955557247,7.16999343123669,30.9467698843466,-24.1153766869961,28.501215798141,0.305846801200518,0.909623720449779
"35","141 - 522co141",7.28308095660388,5.86100936765575,31.0826216611384,-14.2124207613927,28.7785826746004,1.24263253984815,0.341147402138272
"36","141 - 702co141",3.08308095660388,5.86100936765575,31.0826216611384,-18.4124207613927,24.5785826746004,0.526032422609322,0.828573743636318
"37","141 - 717co141",17.8830809566039,5.86100936765574,31.0826216611384,-3.61242076139267,39.3785826746004,3.05119474049854,0.00822456640659955
"38","141 - 733co141",13.5330809566039,5.86100936765574,31.0826216611384,-7.96242076139264,35.0285826746005,2.30900176192975,0.0462603098340772
"39","141 - InCtrl",45.4374788776397,5.88116583876352,31.491463238478,23.8972130302095,66.9777447250698,7.72593055923631,1.3569505735166e-07
"40","141 - ExCtrl",47.4830809566039,7.16999343123669,30.9467698843466,21.1747847140354,73.7913771991724,6.62247203041216,9.02657801297517e-07
"41","522co141 - 702co141",-4.2,5.8407833372295,30.6757146761036,-25.6509812906889,17.2509812906889,-0.719081629552829,0.67344416427328
"42","522co141 - 717co141",10.6,5.8407833372295,30.6757146761036,-10.8509812906889,32.0509812906889,1.8148250650619,0.128345192441483
"43","522co141 - 733co141",6.25000000000003,5.8407833372295,30.6757146761036,-15.2009812906889,27.700981290689,1.07006194873933,0.435450210502455
"44","522co141 - InCtrl",38.1543979210358,5.86100936765574,31.0826216611384,16.6588962030392,59.6498996390323,6.50986810080745,1.1256848405249e-06
"45","522co141 - ExCtrl",40.2,7.15346943718128,30.6757146761036,13.9280206779118,66.4719793220882,5.61965076569059,1.0349804007396e-05
"46","702co141 - 717co141",14.8,5.8407833372295,30.6757146761036,-6.65098129068894,36.2509812906889,2.53390669461473,0.0285480943180842
"47","702co141 - 733co141",10.45,5.8407833372295,30.6757146761036,-11.0009812906889,31.900981290689,1.78914357829216,0.131168436243276
"48","702co141 - InCtrl",42.3543979210358,5.86100936765574,31.0826216611384,20.8588962030392,63.8498996390324,7.22646821804629,2.55945393179915e-07
"49","702co141 - ExCtrl",44.4,7.15346943718128,30.6757146761036,18.1280206779118,70.6719793220882,6.20677845762841,2.30697659817309e-06
"50","717co141 - 733co141",-4.34999999999997,5.8407833372295,30.6757146761036,-25.8009812906889,17.100981290689,-0.744763116322568,0.668804307472149
"51","717co141 - InCtrl",27.5543979210358,5.86100936765574,31.0826216611384,6.05889620303923,49.0498996390323,4.70130590015707,0.000102241140892204
"52","717co141 - ExCtrl",29.6,7.15346943718128,30.6757146761036,3.32802067791181,55.8719793220882,4.13785230508561,0.000463030684983468
"53","733co141 - InCtrl",31.9043979210358,5.86100936765574,31.0826216611384,10.4088962030392,53.3998996390323,5.44349887872585,1.56396997295135e-05
