"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"61",61,61,61,"height4","141 - (717A + 141)",1.066677747,0.558612804,31.07251316,-0.982128015,3.115483509,1.90951181,0.109111158,"ns"
"62",62,62,62,"height4","141 - 733B",3.99373451,0.560259968,31.42525028,1.941290576,6.046178444,7.128359582,3.78e-07,"****"
"63",63,63,63,"height4","141 - (733B + 141)",0.531677747,0.558612804,31.07251316,-1.517128015,2.580483509,0.951782242,0.479260187,"ns"
"64",64,64,64,"height4","141 - ExCtrl",3.471677747,0.683484392,30.9552595,0.963893954,5.97946154,5.079381162,3.78e-05,"****"
"65",65,65,65,"height4","141 - InCtrl",3.769952221,0.560259968,31.42525028,1.717508286,5.822396155,6.728933775,7.34e-07,"****"
"66",66,66,66,"height4","522 - (522 + 141)",-3.835,0.55696077,30.72124353,-5.880185092,-1.789814908,-6.885583707,6.51e-07,"****"
"67",67,67,67,"height4","522 - 702A",0.715,0.55696077,30.72124353,-1.330185092,2.760185092,1.283752894,0.32815665,"ns"
"68",68,68,68,"height4","522 - (702A + 141)",-3.58,0.55696077,30.72124353,-5.625185092,-1.534814908,-6.427741765,1.4e-06,"****"
"69",69,69,69,"height4","522 - 717A",0.071170647,0.558612804,31.07251316,-1.977635116,2.119976409,0.127406042,0.933381127,"ns"
"70",70,70,70,"height4","522 - (717A + 141)",-2.47,0.55696077,30.72124353,-4.515185092,-0.424814908,-4.434782726,0.000215026,"***"
"71",71,71,71,"height4","522 - 733B",0.457056763,0.558612804,31.07251316,-1.591748999,2.505862525,0.818199582,0.549310942,"ns"
"72",72,72,72,"height4","522 - (733B + 141)",-3.005,0.55696077,30.72124353,-5.050185092,-0.959814908,-5.395353074,1.78e-05,"****"
"73",73,73,73,"height4","522 - ExCtrl",-0.065,0.682134846,30.72124353,-2.569829953,2.439829953,-0.095289077,0.938680661,"ns"
"74",74,74,74,"height4","522 - InCtrl",0.233274474,0.558612804,31.07251316,-1.815531289,2.282080236,0.417596002,0.761509367,"ns"
"75",75,75,75,"height4","(522 + 141) - 702A",4.55,0.55696077,30.72124353,2.504814908,6.595185092,8.169336601,1.86e-07,"****"
"76",76,76,76,"height4","(522 + 141) - (702A + 141)",0.255,0.55696077,30.72124353,-1.790185092,2.300185092,0.457841941,0.760975225,"ns"
"77",77,77,77,"height4","(522 + 141) - 717A",3.906170647,0.558612804,31.07251316,1.857364884,5.954976409,6.992626406,5.13e-07,"****"
"78",78,78,78,"height4","(522 + 141) - (717A + 141)",1.365,0.55696077,30.72124353,-0.680185092,3.410185092,2.45080098,0.035749952,"*"
"79",79,79,79,"height4","(522 + 141) - 733B",4.292056763,0.558612804,31.07251316,2.243251001,6.340862525,7.683419946,1.89e-07,"****"
