"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"24","(522 + 141) - 733B",36.9999250823578,17.3720177675901,31.0010028520726,-26.7301827817504,100.730032946466,2.12985765829611,0.113374896973066
"25","(522 + 141) - (733B + 141)",13.311,17.3144258473084,30.6102216359672,-50.2927069556378,76.9147069556379,0.768780906591209,0.64829761885238
"26","(522 + 141) - ExCtrl",43.7755,21.2057542575809,30.6102216359672,-34.122813895411,121.673813895411,2.06432176230424,0.123519607547552
"27","(522 + 141) - InCtrl",40.3762036360184,17.3720177675901,31.0010028520726,-23.3539042280898,104.106311500127,2.3242092067938,0.0971276018801047
"28","702A - (702A + 141)",-70.3489999999999,17.3144258473084,30.6102216359672,-133.952706955638,-6.74529304436203,-4.063028172022,0.00851868986235227
"29","702A - 717A",-8.60684443720673,17.3720177675901,31.0010028520726,-72.336952301315,55.1232634269015,-0.495442990696452,0.857699321510056
"30","702A - (717A + 141)",-32.6024964357533,17.3720177675901,31.0010028520724,-96.3326042998616,31.127611428355,-1.87672479224479,0.160408133711009
"31","702A - 733B",-11.2310749176422,17.3720177675901,31.0010028520725,-74.9611827817505,52.499032946466,-0.646503766453391,0.737156655978358
"32","702A - (733B + 141)",-34.92,17.3144258473084,30.6102216359672,-98.5237069556379,28.6837069556378,-2.01681536009053,0.125686534542236
"33","702A - ExCtrl",-4.45550000000003,21.2057542575809,30.6102216359672,-82.353813895411,73.442813895411,-0.210108065286441,0.953403994274267
"34","702A - InCtrl",-7.85479636398163,17.3720177675901,31.0010028520725,-71.5849042280899,55.8753115001266,-0.452152217955697,0.877729373060885
"35","(702A + 141) - 717A",61.7421555627932,17.3720177675901,31.0010028520726,-1.98795230131507,125.472263426901,3.55411538192079,0.00851868986235227
"36","(702A + 141) - (717A + 141)",37.7465035642466,17.3720177675901,31.0010028520725,-25.9836042998617,101.476611428355,2.17283358037245,0.113374896973066
"37","(702A + 141) - 733B",59.1179250823577,17.3720177675901,31.0010028520726,-4.61218278175056,122.848032946466,3.40305460616385,0.0102082435654248
"38","(702A + 141) - (733B + 141)",35.4289999999999,17.3144258473084,30.6102216359672,-28.174706955638,99.0327069556377,2.04621281193147,0.123519607547552
"39","(702A + 141) - ExCtrl",65.8934999999998,21.2057542575809,30.6102216359672,-12.0048138954111,143.791813895411,3.10734054538255,0.0185802194166056
"40","(702A + 141) - InCtrl",62.4942036360182,17.3720177675901,31.0010028520725,-1.23590422809001,126.224311500127,3.59740615466155,0.00851868986235227
"41","717A - (717A + 141)",-23.9956519985466,17.4294193882926,31.3935815149494,-87.8528373375875,39.8615333404944,-1.37673272207017,0.304177166646588
"42","717A - 733B",-2.62423048043548,17.4294193882926,31.3935815149494,-66.4814158194764,61.2329548586054,-0.150563275917165,0.953403994274267
"43","717A - (733B + 141)",-26.3131555627933,17.3720177675901,31.0010028520726,-90.0432634269015,37.4169523013149,-1.514686199083,0.285037627570901
"44","717A - ExCtrl",4.1513444372067,21.2528038745111,30.8705417017255,-73.8500814593277,82.1527703337411,0.19533161185313,0.953403994274267
"45","717A - InCtrl",0.752048073225097,17.4294193882926,31.3935815149494,-63.1051372658158,64.609233412266,0.0431481999756258,0.965856673471846
"46","(717A + 141) - 733B",21.3714215181111,17.4294193882926,31.3935815149494,-42.4857638209298,85.228606857152,1.226169446153,0.350247877668349
"47","(717A + 141) - (733B + 141)",-2.31750356424671,17.3720177675901,31.0010028520725,-66.047611428355,61.4126042998615,-0.133404397534657,0.953403994274267
"48","(717A + 141) - ExCtrl",28.1469964357533,21.2528038745111,30.8705417017255,-49.8544294607812,106.148422332288,1.32438978884619,0.315595915153208
"49","(717A + 141) - InCtrl",24.7477000717717,17.4294193882926,31.3935815149494,-39.1094852672693,88.6048854108126,1.41988092204579,0.303411667481919
"50","733B - (733B + 141)",-23.6889250823578,17.3720177675901,31.0010028520726,-87.419032946466,40.0411827817504,-1.36362542332606,0.304177166646588
"51","733B - ExCtrl",6.77557491764218,21.2528038745111,30.8705417017255,-71.2258509788923,84.7770008141766,0.31880851852062,0.953403994274267
"52","733B - InCtrl",3.37627855366058,17.4294193882926,31.3935815149494,-60.4809067853804,67.2334638927015,0.193711475892791,0.953403994274267
"53","(733B + 141) - ExCtrl",30.4645,21.2057542575809,30.6102216359672,-47.433813895411,108.362813895411,1.43661478059,0.303411667481919
"54","(733B + 141) - InCtrl",27.0652036360184,17.3720177675901,31.0010028520726,-36.6649042280898,90.7953115001266,1.55797697182375,0.273709789369534
"55","ExCtrl - InCtrl",-3.39929636398161,21.2528038745111,30.8705417017255,-81.400722260516,74.6021295325528,-0.159945783344777,0.953403994274267
